id,name,source,description
1,Conceptualization,https://casrai.org/credit,Ideas; formulation or evolution of overarching research goals and aims.
2,Data curation,https://casrai.org/credit,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use."
3,Formal Analysis,https://casrai.org/credit,"Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data."
4,Funding acquisition,https://casrai.org/credit,Acquisition of the financial support for the project leading to this publication.
5,Investigation,https://casrai.org/credit,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection."
6,Methodology,https://casrai.org/credit,Development or design of methodology; creation of models.
7,Project administration,https://casrai.org/credit,Management and coordination responsibility for the research activity planning and execution.
8,Resources,https://casrai.org/credit,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools."
9,Software,https://casrai.org/credit,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components."
10,Supervision,https://casrai.org/credit,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team."
11,Validation,https://casrai.org/credit,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs."
12,Visualization,https://casrai.org/credit,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation."
13,Writing – original draft,https://casrai.org/credit,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation)."
14,Writing – review & editing,https://casrai.org/credit,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision – including pre- or post-publication stages."
